filename	caption	second positive	negative_caption
000000417465.jpg	A bear sitting on a log with a really long tongue	A bear is sitting on a log with an extremely long tongue.	A bear sitting next to a log with a really long tongue.
000000400573.jpg	A person biting into a doughnut with a sly look.	With a sly look on face, an individual bites into a doughnut.	A person throwing a doughnut with a sly look.
000000109798.jpg	A table topped with a white plate covered in three donuts.	Three donuts are placed on a white plate atop a table.	A table topped with a white plate next to three donuts.
000000199551.jpg	A picture of a young child laying on top of a bed.	The photograph depicts a young child situated on the bed.	A picture of a young child sitting on top of a bed.
000000171190.jpg	People sit around a table that is covered in liquor bottles.	Individuals are seated around a table adorned with liquor bottles.	People sit around a table that is free from liquor bottles.
000000476415.jpg	A person wearing a tie has their hands in their pockets.	An individual in the tie has their hands in their pockets.	A person wearing a tie has their hands out of their pockets.
000000118921.jpg	A person skiing down a snowy, tree-lined path.	A person is skiing along a snow-covered path bordered by trees.	A person climbing up a snowy, tree-lined path.
000000104782.jpg	A street sign reads "Bacchanalia" above a stop sign.	A stop sign is located below a street sign with the inscription "Bacchanalia".	A street sign reads "Bacchanalia" below a stop sign.
000000545129.jpg	Three zebras standing in a sandy desert area.	The three zebras are positioned in the sandy desert region.	Three zebras laying down in a sandy desert area.
000000403565.jpg	A person wearing a bike helmet standing next to a bicycle.	Near the bicycle stands an individual wearing a bike helmet.	A person holding a bike helmet standing next to a bicycle.
000000384670.jpg	A tennis player grabs an extra ball from their pocket.	The tennis player retrieves an additional ball from their pocket.	A tennis player releases an extra ball from their pocket.
000000163257.jpg	A person holding an umbrella on a sidewalk.	An individual is situated on the sidewalk holding an umbrella.	A person dropping an umbrella on a sidewalk.
000000138115.jpg	A person puckers up while holding a large orange in hand.	An individual holds the large orange in hand while puckering up.	A person puckers up while holding a large orange next to hand.
000000465836.jpg	Three skiers pose in the snow in front of barren trees.	Three skiers are positioned in the snow before barren trees.	Three skiers pose in the snow behind barren trees.
000000392228.jpg	The clock is built near the roof of a building.	The clock is placed adjacent to the roof of a building.	The clock is far from the roof of a building.
000000136355.jpg	A kitchen with wooden furniture and a vase filled with red flowers.	The room is a kitchen with wooden furniture and a vase filled with red flowers.	A kitchen with wooden furniture and a vase missing red flowers.
000000078843.jpg	The person kisses the child on the head as the child laughs.	An individual kisses the child on the head while eliciting laughter from the child..	The person hugs the child on the head as the child laughs.
000000176901.jpg	Several people traveling up a hill wearing snow gear.	A group of individuals is ascending a hill while dressed in snow gear.	Several people descending a hill wearing snow gear.
000000571893.jpg	A kitchen with a teapot on the stove and books on a shelf.	A kitchen with a teapot on the cooktop and books on a bookshelf.	A kitchen with a teapot beside the stove and books on a shelf.
000000217614.jpg	A giraffe standing in tall grass with trees.	A giraffe stands amidst the tall grass and trees.	A giraffe standing beside tall grass with trees.
000000049269.jpg	A horse and a dog stand in a meadow.	A dog and a horse stand in a grassy field.	A horse and a dog gallop through a meadow.
000000218424.jpg	Four zebras stand together in a grassy plain.	Four zebras are gathered together in a vast grassy expanse.	Four zebras run across a grassy plain.
000000366611.jpg	A dog is playing with a ball in the grass.	The ball is in the grass, and the dog is playing with it.	A dog is chasing a ball in the grass.
000000236784.jpg	Two black dogs on a couch sleeping peacefully.	Couple of black dogs are peacefully sleeping on a couch.	Two black dogs next to a couch sleeping peacefully.
000000021503.jpg	Square pastries are assorted on a white platter.	A white platter holds the assorted square pastries.	Square pastries are stacked on a white platter.
000000458109.jpg	Shadows are cast onto the side of a train because of the sun.	The sun cast shadows onto the side of the train.	Shadows are cast over the side of a train because of the sun.
000000378454.jpg	A person jumps in the air and catches a Frisbee at the beach.	A person leaps into the air and catches the Frisbee at the beach.	A person is running on the beach and catches a Frisbee.
000000230008.jpg	A police officer on a motorcycle sitting at the corner.	A police officer is stationed at the corner on a motorcycle.	A police officer on a motorcycle riding towards the corner.
000000182021.jpg	A person holding a baseball bat while standing on a baseball field.	A person stands on the baseball field holding a baseball bat.	A person throwing a baseball on a baseball field.
000000481390.jpg	Looking down at the spectators and players during a basketball game	Observing the players and the spectators from above during a basketball game.	Looking down at the spectators and players after a basketball game.
000000465675.jpg	A tractor and two boats beside the water.	A couple of boats and a tractor are located next to the water.	A tractor and two boats far from the water.
000000127517.jpg	Several surfboards standing in a row on the beach	Several surfboards are lined up in a row on the beach.	Several surfboards lying in a row on the beach.
000000376442.jpg	A toilet with a teddy bear sitting on the seat .	The teddy bear is on the seat of the toilet.	A toilet with a teddy bear sitting beside the seat.
000000115898.jpg	A person is on their surfboard in the water.	The surfer is in the water on the surfboard.	A person is beside their surfboard in the water.
000000100624.jpg	A person is standing by a storefront while talking on their phone.	An individual is talking on their phone while standing next to the storefront.	A person is standing by a storefront while texting on their phone.
000000068409.jpg	A black and white photo of children sitting posing for a photo	The black and white photograph depicts children sitting and posing for a photo.	A black and white photo of children standing and posing for a photo.
000000036936.jpg	Two people sitting on a sofa watching tv.	A couple of persons sit on a sofa and watch television together.	Two people lying on a sofa watching tv.
000000166277.jpg	A cat stands on a table drinking water out of a glass	A cat is standing on a table and drinking water from a glass.	A cat jumps on a table drinking water out of a glass.
000000223130.jpg	A giraffe standing under a leaf filled tree.	A giraffe is standing beneath a tree filled with leaves.	A giraffe lying down under a leaf filled tree.
000000108026.jpg	Person holding onto a video game remote while using a computer mouse with other hand	The person is simultaneously utilizing a computer mouse with one hand while holding onto the video game remote with the other hand.	Person putting down a video game remote while using a computer mouse with other hand.
000000535578.jpg	A group of sheep grazing in a grassy valley.	A herd of sheep are grazing in a valley full of grass.	A group of sheep sleeping in a grassy valley.
000000292236.jpg	A couple of persons standing next to train tracks.	Two individuals stand beside the train tracks.	A couple of persons sitting next to train tracks.
000000520910.jpg	A lady is standing in pastel colored bathroom in front of the bathtub and there are christmas lights hanging up outside of the doorway.	In the bathroom, a lady stands in front of the bathtub, and outside the doorway, Christmas lights are hung.	A lady is sitting in a pastel colored bathroom in front of the bathtub and there are Christmas lights hanging up outside of the doorway.
000000127182.jpg	An empty clean kitchen with cabinetry, stove and dishwasher.	An empty kitchen featuring cabinets, stove, and a dishwasher is clean.	An empty clean kitchen without cabinetry, stove and dishwasher.
000000080340.jpg	A little child that is standing on a sidewalk with a suitcase.	A small child stands with a suitcase on the sidewalk.	A little child that is standing beside a sidewalk with a suitcase.
000000236914.jpg	Two stuffed bears are positioned at a table with a jar of honey	The two stuffed bears sit at a table next to a jar of honey.	Two stuffed bears are positioned at a table without a jar of honey.
000000479448.jpg	The waffle has banana slices and a strawberry in the middle.	The strawberry is in the middle of the banana slices on a waffle.	The waffle has banana slices and a strawberry on the side.
000000205834.jpg	A brown dog laying on the ground with a metal bowl in front of it.	A brown dog lie on the ground, accompanied by a metal bowl placed before it.	A brown dog sitting on the ground with a metal bowl in front of it.
000000255483.jpg	A person holding many papers and cutting one with scissors.	An individual holds various papers and cuts one of them with scissors.	A person organizing many papers and cutting one with scissors.
000000180560.jpg	A person holding a cake with candles on it while another nearby person is making gestures with fingers.	While a person nearby gestures with their fingers, another person holds a cake with candles on it.	A person is putting down a cake with candles on it while another nearby person is making gestures with fingers.
000000041888.jpg	Three wild turkeys on top of the dried pasture.	Three wild turkeys are perched on the dried pasture.	Three wild turkeys next to the dried pasture.
000000295713.jpg	A statue is sitting on a bench and a person sits on a cement block.	A person sits on a cement block and the statue is positioned on a bench	A statue is beside a bench and a person sits on a cement block.
000000068409.jpg	A  group of children in suits holding a chalkboard.	A group of children holding a chalkboard are wearing suits.	A group of children in suits pointing to a chalkboard.
000000550322.jpg	Scissors and other utensils in a cup sitting on a desk.	A cup sitting on a desk contains the scissors and other utensils.	Scissors and other utensils in a cup next to a desk.
000000243204.jpg	A person is holding a spatula near slices of bread on a stove.	An individual is holding a spatula close to bread slices on the stove.	A person is pushing a spatula near slices of bread on a stove.
000000206027.jpg	A slice of pizza that is on top of a napkin.	The napkin is below the pizza slice.	A slice of pizza beside a napkin.
000000375278.jpg	A person pets a cat over a bag	A person is petting a cat while being over a bag.	A person pets a cat beside a bag.
000000080057.jpg	A teddy bear sitting in front of toy wooden shapes.	The teddy bear is sitting before toy wooden shapes.	A teddy bear standing in front of toy wooden shapes.
000000360097.jpg	Aerial view of suitcases grouped together waiting on a sidewalk	Group of suitcases viewed from above, positioned alongside each other on the sidewalk.	Aerial view of suitcases scattered on a sidewalk.
000000506656.jpg	A person standing in front of a few horses on the street.	A person is standing before few horses on the street.	A person standing behind a few horses on the street.
000000481404.jpg	The inside view of a large decorated church.	A large decorated church viewed from the inside.	The outside view of a large decorated church.
000000144784.jpg	A metal blender on top of a stone counter.	A stone counter has a metal blender on top of it.	A metal blender beside a stone counter.
000000232563.jpg	A person on sidewalk holding a zebra stripe umbrella.	The zebra-striped umbrella is held by the person standing on the sidewalk.	A person on sidewalk dropping a zebra stripe umbrella.
000000456496.jpg	A person sitting in front of the Eiffel tower near pigeons.	An individual sitting in front of the Eiffel tower close to the pigeons.	A person standing in front of the Eiffel tower near pigeons.
000000355257.jpg	A person laying in a hospital bed hooded up to machines.	An individual is positioned on a hospital bed, connected to machines.	A person sitting in a hospital bed hooded up to machines.
000000016958.jpg	View of two desks with chairs next to a fireplace in an old style living room.	The old-fashioned living room features two desks with chairs arranged near a fireplace.	View of two desks with chairs far from a fireplace in an old style living room.
000000573094.jpg	A view of a room that has a Christmas tree that has been decorated.	A visual of a room displaying a decorated Christmas tree.	A view of a room that has a Christmas tree that is being taken down.
000000151662.jpg	A giraffe behind a fence eating grass from a feeder	A giraffe is located behind a fence eating grass from a feeder.	A giraffe in front of a fence eating grass from a feeder.
000000109916.jpg	Two cake pans sitting and cooling on the stove	Couple of cake pans sit on the stove cooling.	Two cake pans hanging above and cooling on the stove.
000000363840.jpg	Several different pieces of electronic equipment and computers on a desk.	Various electronic devices and computers are placed on a desk.	Several different pieces of electronic equipment and computers are under a desk.
000000063602.jpg	A black laptop at a desk with a printer.	A printer is positioned next to a black laptop on a desk.	A black laptop next to a desk with a printer.
000000572678.jpg	A white decorated living room with a set dining room table.	A living room adorned in white decor featuring an arranged dining table	A white decorated living room without a set dining room table.
000000465675.jpg	There is a tractor next to some boats on the beach	Some boats are situated next to a tractor on the beach.	There is a tractor far from some boats on the beach.
000000121506.jpg	A wooden table with an inverted umbrella on it.	The inverted umbrella is on top of the wooden table.	A wooden table with an inverted umbrella beside it.
000000021903.jpg	A person is feeding an elephant over a fence	Over a fence, an elephant is being fed by a person.	A person is petting an elephant over a fence.
000000475064.jpg	A person holding a piece of food in front of a cafe.	In front of a cafe, a person is holding a piece of food.	A person eating a piece of food in front of a cafe.
000000221291.jpg	A little child standing in a field below a kite.	The kite is above the little child standing in a field.	A little child running in a field below a kite.
000000205834.jpg	The brown dog is laying near a silver dog bowl.	Near the silver dog bowl lies the brown dog.	The brown dog is sitting near a silver dog bowl.
000000570539.jpg	A person sitting on top of a bus over a billboard.	A person sits atop a bus above a billboard.	A person sitting beside a bus near a billboard.
000000051961.jpg	A parking meter has graffiti on it near a graffiti wall.	The graffiti wall is near a parking meter with graffiti on it.	A parking meter is next to a graffiti wall.
000000311303.jpg	A cup with soda in front of a panini with a side of greens.	In front of the panini with a side of greens, a cup with soda is positioned.	A cup with soda behind a panini with a side of greens.
000000532690.jpg	A person playing a Wii game with other people.	People playing a wii game with another person.	A person is watching other people play a Wii game.
000000174004.jpg	A truck is sitting in the middle of a wooded area.	The truck is positioned in the midst of the wooded area.	A truck is sitting on the outskirts of a wooded area.
000000085478.jpg	A polar bear is swimming in a pool of water.	The pool of water is being swum in by a polar bear.	A polar bear is napping next to a pool of water.
000000068409.jpg	School children sit cross legged in front of a chalkboard sign in a vintage black and white photo.	A vintage black and white photo of school children sitting cross-legged in front of a chalkboard sign.	School children stand cross legged in front of a chalkboard sign in a vintage black and white photo.
000000097278.jpg	A person riding a snowboard on top of snow covered ground.	A person is snowboarding on top of snow-covered ground.	A person is falling off a snowboard on top of snow covered ground.
000000481404.jpg	A golden obelisk stands in the middle of an ornate building.	An elaborate building has an obelisk made of gold positioned in the center.	A golden obelisk is positioned at the edge of an ornate building.
000000453584.jpg	What appears to be a beach-side eatery has an outdoor area with a metal railing and high stools, the whole of which rests on a tilted walkway with a sign and  a bench with a logo on it.	The beach-side eatery has an outdoor area, featuring a metal railing and high stools, situated on a tilted walkway with a sign and a bench displaying the logo.	What appears to be a beach-side eatery doesn't have an outdoor area with a metal railing and high stools, but there is a tilted walkway with a sign and a bench with a logo on it.
000000033114.jpg	A airplane that is sitting on a runway.	The airplane is situated on the runway.	An airplane that is soaring above the clouds.
000000128476.jpg	Two persons are looking at many colorful, heart shaped cakes.	Numerous colorful, heart-shaped cakes are being looked at by two individuals.	Two persons are holding many colorful, heart shaped cakes.
000000292082.jpg	An old photo of a little child sitting on a persons lap	A vintage picture of a small kid sitting on a persons lap.	An old photo of a little child standing beside a person.
000000153529.jpg	People standing with their luggage on a train platform.	People stand on the train platform with their luggage.	People standing with their luggage beside a train platform.
000000100624.jpg	A person walking down a street talking on a cell phone.	An individual strolls down the street while conversing on their cell phone.	A person jogging beside a street talking on a cell phone.
000000090284.jpg	A person is standing on a tennis court with a racket.	An individual is situated on the tennis court with a racket.	A person is standing next to a tennis court with a racket.
000000348881.jpg	The plane is parked at the gate at the airport terminal.	The airport terminal gate is where the plane is parked.	The plane is departing from the gate at the airport terminal.
000000194471.jpg	A person on a skateboard is coming up a ramp.	A skateboarder is coming up a ramp.	A person near a skateboard is coming up a ramp.
000000002299.jpg	Many small children are posing together in the black and white photo.	Several small children are posing together in the black and white photo.	many small children are jumping together in the black and white photo.
000000138819.jpg	A bathroom sink beside a toilet and blue trash can.	A blue trash can beside a toilet, and a sink.	A bathroom sink across from a toilet and blue trash can.
000000212166.jpg	A child with a messy face eating a plate of food with hands	A messy faced child is eating food with hands from a plate.	A child with a messy face playing with a plate of food with hands.
000000008762.jpg	A dusky evening with a green street light shining.	The street light shines bright green in the dusk evening.	A dusky evening with a green street light turned off.
000000395801.jpg	A person sits on a bench as people walk down a sidewalk.	An individual sits on a bench as people walk along the sidewalk.	A person stands by a bench as people walk down a sidewalk.
000000513283.jpg	A little funny rabbit figure is sitting in the middle of half eaten pizza.	There is a funny little rabbit figure sitting in the middle of a pizza that is half-eaten.	A little funny rabbit figure is jumping off the half eaten pizza.
000000163562.jpg	A person standing by the ocean with something in hand.	The person standing near the ocean holds something in their hand.	A person swimming in the ocean with something in hand.
000000371677.jpg	A computer desk has two monitors and other equipment on it.	A computer desk is equipped with two monitors and other accessories.	A computer desk has two monitors and other equipment beside it.
000000228144.jpg	Three chairs sitting in a room near a mirror.	Near the mirror, three chairs sit in the room.	Three chairs lying in a room near a mirror.
000000410428.jpg	A herd of sheep are grazing in a green field.	A flock of sheep graze in a lush green field.	A herd of sheep are running across a green field.
000000473237.jpg	A little child eating a slice of pizza in a room.	A small child consumes a slice of pizza in a room.	A little child sharing a slice of pizza in a room.
000000459153.jpg	The person is sitting on the park bench using their laptop.	The person is using their laptop while sitting on the park bench.	The person is sitting next to the park bench using their laptop.
000000334309.jpg	A picture of a person eating some food.	The photograph displays a person eating some food.	A picture of a person cooking some food.
000000458054.jpg	A row of white toilets sitting on top of a dirt ground.	A row of white toilets sits on the dirt ground.	A row of white toilets embedded in a dirt ground.
000000219578.jpg	A dog and cat lying  together on an orange couch.	On the orange couch are the dog and cat lying together.	A dog and cat sitting apart on an orange couch.
000000572517.jpg	A bird sitting in front of the water with a bear on the other side.	The bird is situated in front of the water, with the bear positioned across from it.	A bird sitting behind the water with a bear on the other side.
000000029393.jpg	A brown dog standing on a wooden bench near a lemon tree.	Adjacent to a lemon tree, a brown dog is standing on a wooden bench.	A brown dog lying next to a wooden bench near a lemon tree.
000000166277.jpg	A grey colored cat that is drinking from a glass of water.	A grey-colored cat is drinking from a glass of water.	A grey colored cat that is knocking over a glass of water.
000000113403.jpg	A trio of teddy bears bundled up on a bed.	The three teddy bears are bundled up on the bed.	A trio of teddy bears spread out on a bed.
000000578922.jpg	A vase full of red flowers sits in a room with red walls and red decorations.	The room with red walls and red decorations contains a vase full of red flowers.	A vase full of red flowers sits in a room without any red walls or red decorations.
000000211042.jpg	A cat has its front paws on a toilet seat.	The cat's front paws are on the toilet seat.	A cat has its front paws off a toilet seat.
000000067180.jpg	A person sitting on a wooden bench on a wall.	A person is seated on a wooden bench located on the wall.	A person sitting beside a wooden bench on a wall.
000000064359.jpg	Four giraffes standing around while three zebras walk by.	Three zebras walk by as four giraffes stand around.	Four giraffes standing around while three zebras run past.
000000379800.jpg	An orange train engine moves down the track with one train car behind it.	An orange train engine trailed by a single train car moves down the tracks.	An orange train engine moves down the track with one train car in front of it.
000000163257.jpg	A person in a fluorescent green hoodie holding a fuchsia umbrella.	An individual holding a fuchsia umbrella is in a fluorescent green hoodie.	A person in a fluorescent green hoodie putting away a fuchsia umbrella.
000000131556.jpg	A person riding skis on top of a ramp.	The skier is at the top of the ramp.	A person walking beside a ramp.
000000038576.jpg	A black and white photo of a desk with a keyboard and monitor.	A black and white photo depicts a desk with a keyboard and a monitor.	A black and white photo on a desk with a keyboard and monitor.
000000080666.jpg	A cat sitting on a bench in front of a house	A cat is seated on a bench situated before a house.	A cat sleeping on a bench in front of a house.
000000579818.jpg	A train driving over a small bridge on a green hillside.	A train travels across a small bridge situated on a green hillside.	A train passing under a small bridge on a green hillside.
000000430056.jpg	A triple decker sandwich is sitting on a desk.	The desk is positioned below the triple decker sandwich.	A triple decker sandwich is sitting beside a desk.
000000424721.jpg	Fruits and vegetables inside of a cooking pot.	The cooking pot contains fruits and vegetables inside.	Fruits and vegetables next to a cooking pot.
000000012576.jpg	An elderly person seated at a table holding three pizzas.	Three pizzas are in the hands of a senior citizen seated at a table.	An elderly person standing next to a table holding three pizzas.
000000361238.jpg	A pizza with a slice missing is sitting on a pizza stand.	The pizza stand has a pizza with a missing slice.	A pizza with a slice missing is hanging from a pizza stand.
000000399205.jpg	All of these persons are using their cell phones.	These individuals are utilizing their cell phones.	All of these persons are talking on their cell phones.
000000579158.jpg	A red yellow and blue airplane is sitting on the runway.	The airplane is on the runway, and it is red yellow and blue.	A red yellow and blue airplane is flying above the runway.
000000187144.jpg	A white bus is pulled up to a sidewalk.	The white bus is positioned next to the sidewalk.	A white bus is speeding past a sidewalk.
000000166563.jpg	An advertising billboard featuring the statue of an elephant with a howdah on its back.	The statue of an elephant with a howdah on its back is displayed on an advertising billboard.	An advertising billboard featuring the statue of an elephant with a howdah beside it.
000000521540.jpg	A banana is on a plate with cookies and peanut butter.	The plate is filled with cookies and peanut butter, along with a banana.	A banana is next to a plate with cookies and peanut butter.
000000222455.jpg	A vending machine for microwaved food with a microwave at the bottom.	A microwave features a vending machine for microwaved food positioned on top of it.	A vending machine for microwaved food with a microwave on top of it.
000000500663.jpg	A few cows grazing in a field near trees.	Trees surround a field where a few cows are grazing.	A few cows sleeping in a field near trees.
000000375015.jpg	A baby brown bear standing on top of a rock.	The rock is positioned beneath the standing baby brown bear.	A baby brown bear lying on top of a rock.
000000296224.jpg	There's a number 41 bus with a green stripe on it	There is a green-striped bus numbered 41.	There's a number 41 bus without a green stripe on it.
000000290248.jpg	People walk down a crowded street at a festival	A crowded street at the festival is walked down by people.	People walk down a crowded street near a festival.
000000334309.jpg	A person takes a picture of himself eating food.	While eating food, a person takes a picture of himself.	A person deletes a picture of himself eating food.
000000573094.jpg	A modern living room with a christmas tree set up in front of the window.	A contemporary living space with a Christmas tree positioned in front of the window.	A modern living room with a christmas tree moved away from the window.
000000414170.jpg	Three people on packed snow trail, two skiing, one walking.	Three individuals are on a crowded snow trail, with one walking and two skiing.	Three people on packed snow trail, two skiing, one running.
000000009483.jpg	A person standing near a table with video equipment.	A person with video equipment is standing near a table.	A person sitting near a table with video equipment.
000000283520.jpg	Two persons stand in the woods as one of them throws a Frisbee.	A couple of individuals stand in the woods while one of them throws a Frisbee.	Two persons sit in the woods as one of them throws a Frisbee.
000000230008.jpg	A police person on a motorcycle is idle in front of a bush.	In front of a bush, a police officer on a motorcycle is idle.	A police person on a motorcycle is moving in front of a bush.
000000147729.jpg	A person holding cell phone up in a crowd	A person holds cell phone up in the midst of the crowd.	A person drops their cell phone in a crowd.
000000554735.jpg	A person grabbing a slice of pizza from a pizza box.	An individual seizes a pizza slice from a pizza box.	A person setting down a slice of pizza onto a plate.
000000340930.jpg	Scissors with orange handles are in a container with pens.	The container stores pens and scissors with orange handles.	Scissors with orange handles are separated from a container with pens.
000000319721.jpg	A person hold a brown horse while another person watches.	One person watches while another person is holding a brown horse.	A person holds a brown horse while another person rides it.
000000035197.jpg	A black and white photograph of a person wearing DC shoes on a skateboard in the sun.	A monochrome photograph captures a person wearing DC shoes skateboarding in the sunlight.	A black and white photograph of a person holding DC shoes while on a skateboard in the sun.
000000129492.jpg	Two small children holding remote controls while sitting on a floor.	Two small children sit on the floor while holding the remote controls.	Two small children holding remote controls while lying on a floor.
000000177934.jpg	People wash a motorcycle while other persons look on.	The motorcycle is being washed by individuals while other persons watch.	People wash a motorcycle while other persons help out.
000000370042.jpg	A bunch of pottery sitting on a sidewalk	Several pieces of pottery are sitting on a sidewalk.	A bunch of pottery stacked on a sidewalk.
000000037777.jpg	A kitchen and dining area decorated in white.	The dining area and kitchen are adorned in white decor.	A kitchen and dining area painted red.
000000098839.jpg	A little cat is sitting on the table and watching TV.	A small cat is sitting on the table while watching TV.	A little cat is sitting beside the table and watching TV.
000000376442.jpg	There is a stuffed animal sitting on the toilet.	A stuffed animal is seated on the toilet.	There is a stuffed animal next to the toilet.
000000134886.jpg	A low flying airplane over a parked silver van.	A low-flying airplane flies over a silver van that is parked.	A low flying airplane below a parked silver van.
000000146358.jpg	A couple stands next to a wedding cake.	The wedding cake is situated alongside the standing couple.	A couple is sitting in front of a wedding cake.
000000410428.jpg	The small herd of sheep are grazing on the grassy field.	on a grassy field, a small herd of sheep are grazing.	The small herd of sheep are sleeping on the grassy field.
000000063602.jpg	A laptop computer sitting on top of a white desk.	The white desk has the laptop computer sitting on top of it.	A laptop computer lying on top of a white desk.
000000100582.jpg	Lettuce and tomatoes on a slice of pita bread.	A slice of pita bread contains lettuce and tomatoes on top of it.	Lettuce and tomatoes next to a slice of pita bread.
000000210032.jpg	This is two birds pecking at the remnants of a burger at an outdoor restaurant.	 At an outdoor restaurant are two birds pecking at the leftovers of a burger.	Two birds are flying over the remnants of a burger at an outdoor restaurant.
000000448810.jpg	A street sign sitting on the side of a road.	The road runs beside the street sign.	A street sign leaning against the side of a road.
000000130586.jpg	A child making a face while running to get their kite in the air	The child is running in pursuit of kite while making a face.	A child making a face while running to get their kite crashed to the ground.
000000486479.jpg	A large white dog laying underneath a bed.	The bed is positioned above the white dog that is large.	A large white dog jumping over a bed.
000000051598.jpg	A garbage bag in a white lighted bathroom	A garbage bag is placed in a white, illuminated bathroom.	A garbage bag next to a white lighted bathroom.
000000562121.jpg	Two zebra having a fight on top of a dry grass field.	Two zebras fight on top of a dry grassy field.	Two zebra having a fight beside a dry grass field.
000000564133.jpg	African elephants file through dry grass and shrub growth.	Elephants from Africa walking through dry grass and shrubbery.	African elephants file through lush wilderness.
000000441586.jpg	A person on a piece of equipment resembling a bicycle that has very large wheels.	The person is on a large-wheeled bicycle-like equipment.	A person beside a piece of equipment resembling a bicycle that has very large wheels.
000000050326.jpg	A person that is standing in the sand.	The person is standing in the sand.	A person that is lying in the sand.
000000108440.jpg	A train on top of an overpass bridge set of train tracks with fields on both side.	A train is positioned on an overpass bridge with train tracks, surrounded by fields on both sides.	A train adjacent to an overpass bridge with train tracks and fields on both sides.
000000441586.jpg	a person riding a two thick wheeled bike on sand	A person riding a two-wheeled bike with thick wheels on sand.	A person riding a two thick wheeled bike next to the sand.
000000205834.jpg	A dog is laying with its water dish in front of it.	The water dish is positioned in front of the lying dog.	A dog is sitting with its water dish in front of it.
000000117908.jpg	The person is looking in the refrigerator while the cat looks on.	The cat watches on while the person is looking inside the refrigerator.	The person is looking in the refrigerator while the cat sleeps nearby.
000000448810.jpg	Street signs going in every direction in front of a yellow building.	Street signs pointing in all directions in front of a yellow building.	Street signs going in every direction behind a yellow building.
000000099054.jpg	some planes on an airport runway	The airport runway has some planes on it.	Some planes are flying over an airport runway.
000000144798.jpg	A bathroom with toys and books for young children.	A bathroom filled with toys and books for young children.	A bathroom without toys and books for young children.
000000253835.jpg	A person standing on the sidewalk with a child.	A person with a child standing on the sidewalk.	A person standing beside the sidewalk with a child.
000000016010.jpg	two zebras grazing while a hippo looks at them and some oxen in the background	Couple of zebras graze as a hippo gazes at them with some oxen in the background.	Two zebras are running while a hippo looks at them and some oxen are in the background.
000000458054.jpg	A bunch of dirty looking white toilets in a row outside.	A row of dirty looking white toilets stand outside.	A bunch of dirty looking white toilets scattered everywhere outside.
000000125211.jpg	A zebra standing on top of a grass covered field.	On top of the grass covered field, a zebra stands.	A zebra walking on a grass covered field.
000000031050.jpg	A vase with various flowers in it on a display case.	Various flowers are in a vase on a display case.	A vase with various flowers beside a display case.
000000397327.jpg	A white toilet sitting next to a bathroom sink.	A bathroom sink is positioned adjacent to a white toilet.	A white toilet is across from a bathroom sink.
000000261116.jpg	A Superman toy is lying face down on the table next to an empty plate of food.	An empty plate of food is positioned beside the Superman toy lying face down on the table.	A Superman toy is lying face down on top of an empty plate of food.
000000100624.jpg	A person using cellphone standing on the sidewalk in a city.	A person is standing on the sidewalk in a city while using their cellphone.	A person using cellphone walking on the sidewalk in a city.
000000402992.jpg	a herd of cows lay down on some grass	Some grass has the herd of cows lying on it.	A herd of cows graze on some grass.
000000164602.jpg	Two persons taking a picture in the mirror.	A couple of individuals taking a photo in the mirror.	Two persons standing next to the mirror.
000000485895.jpg	The giraffe is standing in the shade of the tree.	The tree shades the standing giraffe.	The giraffe is sleeping in the shade of the tree.
000000297698.jpg	The skier is leaning forward while jumping through the air.	The skier jumps through the air with a lean forward.	The skier is leaning back while jumping through the air.
000000246968.jpg	A person who is cooking in the kitchen.	A person preparing food in the kitchen.	A person who is cleaning in the kitchen.
000000356248.jpg	A person holding a baby in their chair at the dining table.	At the dining table, an individual held a baby in their chair.	A person feeding the baby in their chair at the dining table.
000000363666.jpg	A couple of people sitting around a table	Two individuals are sitting around a table.	A couple of people sitting beside a table.
000000102356.jpg	A picture of a person sitting on a motorcycle with a sidecar with a desert background of hills.	A photo of a person riding a motorcycle with a sidecar, situated against the backdrop of a desert landscape with rolling hills.	A picture of a person standing beside a motorcycle with a sidecar with a desert background of hills.
000000356498.jpg	A pancake with vegetables piled up on it	Vegetables are piled up on a pancake.	A pancake with vegetables arranged on it.
000000537991.jpg	A person in blue sweater holding two cellphones while wearing headphones.	Two cellphones are held by a person in a blue sweater wearing headphones.	A person in blue sweater holding two cellphones while taking off their headphones.
000000561366.jpg	A cell phone on top of a calculator near a computer keyboard.	The cell phone is positioned on top of a calculator, and the computer keyboard is nearby.	A cell phone underneath a calculator near a computer keyboard.
000000500663.jpg	A herd of cattle grazing on a lush green field.	A group of cattle grazing on a lush green field.	A herd of cattle resting on a lush green field.
000000062025.jpg	A bathroom contains a toilet and sink below a vanity.	A bathroom has a vanity positioned above a toilet and sink.	A bathroom contains a toilet and sink above a vanity.
000000017436.jpg	A person sitting on a bench with a church behind him.	A person sits on a bench facing back to a church.	A person standing on a bench with a church behind him.
000000420281.jpg	A person with thick black glasses eats a hotdog.	A person wearing thick glasses that are black is eating a hotdog.	A person with thick black glasses holds a hotdog.
000000273132.jpg	An old person sitting on a bench next to a fence.	An old person sits on a bench adjacent to a fence.	An old person standing on a bench next to a fence.
000000227478.jpg	A pair of individuals sit on a bench outside.	Two individuals sit on a bench outdoors.	A pair of individual stand next to a bench outside.
