image	sent1	sent2	Best reference (Semantically close)	Reference-2 (Completely irrelevant)
000000116521.jpg	The oven contains the pizza.	The pizza is in the oven.	The pizza is away from the oven	The key is in the box.
000000288106.jpg	The cat is beside the microwave.	The microwave is beside the cat.	The cat is far away from the microwave.	The cell phone is beside the tv.
000000288106.jpg	The cat is beside the microwave.	The microwave is next to the cat.	The cat is far away from the microwave.	The cell phone is next to the laptop.
000000288106.jpg	The cat is beside the microwave.	The microwave is at the side of the cat.	The cat is on the microwave.	The dog is beside the car.
000000288106.jpg	The cat is at the side of the microwave.	The microwave is next to the cat.	The microwave is under the cat.	The cow is at the side of the person.
000000288106.jpg	The cat is to the right side of the microwave.	The microwave is to the left side of the cat.	The microwave is under the cat.	The store is to the right side of the school.
000000232341.jpg	The banana is touching the dining table.	The dining table is touching the banana.	The dining table is far from the banana.	The cat is touching the cake.
000000026435.jpg	The broccoli is enclosed by the sandwich.	The sandwich is surrounding the broccoli.	The broccoli is away from the sandwich.	The gift is enclosed by the box.
000000332943.jpg	The teddy bear is below the umbrella.	The umbrella is above the teddy bear.	The teddy bear is above the umbrella.	The cat is below the car.
000000332943.jpg	The teddy bear is under the umbrella.	The umbrella is above the teddy bear.	The umbrella is below the teddy bear.	The book is under the cake.
000000169111.jpg	The apple is on top of the bowl.	The bowl is below the apple		
000000169111.jpg	The bowl is at the back of the truck.	The truck is behind the bowl.		
000000169111.jpg	The bowl is far from the truck.	The truck is far from the bowl.		
000000355462.jpg	The car is behind the parking meter.	The parking meter is in front of the car.	The parking meter is behind the car.	The dog is behind the cow.
000000219492.jpg	The cat is inside the sink.	The sink contains the cat.	The cat is away from the sink.	The dog is inside the bus.
000000125120.jpg	The boat contains the dining table.	The dining table is inside the boat.	The dining table is outside the boat.	The bag contains the laptop.
000000486397.jpg	The person is connected to the sheep.	The sheep is connected to the person.	The sheep is not connected to the person.	The pipe is connected to the tap.
000000486397.jpg	The person is attached to the sheep.	The sheep is connected to the person.	The sheep is not attached to the person.	The pipe is connected to the tap.
000000439546.jpg	The couch is under the truck.	The truck is on the couch.	The couch is on the truck.	The cat is on the mat.
000000118997.jpg	The red backpack is above the cat.	The cat is below the red backpack.	The cat is above the red backpack.	The car is above the dog.
000000028333.jpg	The couch is on the truck.	The truck contains the couch.		
000000392387.jpg	The dining table is touching the donut.	The donut is touching the dining table.	The dining table is not touching the donut.	The sheep is touching the person
000000126810.jpg	The cat is in the toilet.	The toilet contains the cat.	The cat is away from the toilet.	The bottle conatins the liquid.
000000580162.jpg	The cat is on the microwave.	The microwave is beneath the cat.	The microwave is above the cat.	The crow is on the car.
000000580162.jpg	The cat is on top of the microwave.	The microwave is below the cat.	The cat is below the microwave.	The bird is on top of the car.
000000278962.jpg	The oven is surrounding the pizza.	The pizza is inside the oven.	The pizza is outside the oven.	The cat is inside the backpack.
000000045071.jpg	The cat is on top of the suitcase.	The suitcase is under the cat.	The suitcase is on top of the cat.	The bottle is on top of the table.
000000395170.jpg	The black cat is inside the suitcase.	The suitcase contains the black cat.	The black cat is away from the suitcase.	The brown dog is inside the red car.
000000501204.jpg	The cake is touching the truck.	The truck is touching the cake.	The cake is far from the truck.	The dog is touching the food.
000000237922.jpg	The boat is beneath the dining table.	The dining table is on the boat.	The dining table is away from the boat.	The bicycle is beneath the teddy bear.
000000237922.jpg	The boat is below the dining table.	The dining table is within the boat.	The dining table is below the boat.	The truck is below the car
000000499656.jpg	The book is in front of the cat.	The cat is behind the book.	The book is behind the cat.	The person is behind the dining table.
000000499656.jpg	The book is touching the cat.	The cat is touching the book.	The cat is away from the book.	The cow is touching the person.
000000499656.jpg	The book is under the cat.	The cat is on the book.	The cat is under the book.	The pen is under the table.
000000341985.jpg	The apple is in front of the banana.	The banana is behind the apple.	The apple is behind the banana.	The teddy bear is behind the person.
000000180682.jpg	The person is behind the teddy bear.	The teddy bear is in front of the person.	The teddy bear is behind the person.	The banana is behind the apple.
000000179968.jpg	The airplane is far from the tv.	The tv is behind the airplane.		
000000456730.jpg	The laptop is in the train.	The train contains the laptop.	The laptop is outside the train.	The dog is in the house.
000000550356.jpg	The cow is adjacent to the bus.	The bus is touching the cow.	The cow is not adjacent to the bus.	The person is adjacent to the wall.
000000550356.jpg	The bus is adjacent to the cow.	The cow is touching the bus.	The bus is away from the cow.	The person is adjacent to the wall.
000000550356.jpg	The bus is adjacent to the cow.	The cow is adjacent to the bus.	The cow is not adjacent to the bus.	The table is adjacent to the chair.
000000550356.jpg	The cow is in front of the truck.	The truck is next to the cow.		
000000350368.jpg	The apple is to the left of the teddy bear.	The teddy bear is to the right of the apple.	The apple is to the right of the teddy bear.	The box is to the left of the dining table.
000000350368.jpg	The apple is touching the teddy bear.	The teddy bear is touching the apple.	The teddy bear is not touching the apple.	The sheep is touching the person
000000349777.jpg	The car contains the cat.	The cat is inside the car.	The cat is outside the car.	The bottle is inside the backpack.
000000270922.jpg	The oven is in front of the person.	The person is behind the oven.	The person is in front of the oven.	The cow is in front of the truck.
000000525155.jpg	The person is beneath the sheep.	The sheep is on top of the person.	The person is on top of the sheep.	The monitor is on top of the table.
000000525155.jpg	The person is touching the sheep.	The sheep is touching the person.	The person is not touching the sheep.	The apple is touching the banana.
000000525155.jpg	The person is beneath the sheep.	The sheep is on top of the person.		
000000528832.jpg	The bird is touching the couch.	The couch is touching the bird.	The bird is not touching the couch.	The person is touching the sheep.
000000559490.jpg	The backpack is at the left of the cat.	The cat is at the right of the backpack.	The backpack is at the right of the cat.	The tree is at the right of the building.
000000456143.jpg	The pizza is behind the sandwich.	The sandwich is in front of the pizza.	The sandwich is behind the pizza.	The cow is behind the person.
000000456143.jpg	The pizza is behind the carrot slices.	The carrot slices are in front of the pizza.	The pizza is in front of the carrot slices.	The person is in front of the cow.
000000380299.jpg	The potted plant is touching the teddy bear.	The teddy bear is touching the potted plant.	The potted plant is far away from the teddy bear.	The book is touching the table.
000000069668.jpg	The oven is facing the person.	The person is facing the oven.	The person is not facing the oven.	The dog is facing the woman.
000000261225.jpg	The cat is on top of the vase.	The vase is beneath the cat.	The cat is below the vase.	The dog is on top of the car.
000000261225.jpg	The cat is inside the vase.	The vase contains the cat.	The cat is far away from the vase.	The fish is inside the water.
000000261225.jpg	The cat is in the vase.	The vase contains the cat.	The cat is far away from the vase.	The water contains the fish.
000000234929.jpg	The airplane is on the dining table.	The dining table is beneath the airplane.	The dining table is inside the airplane.	The ship is on the water.
000000265315.jpg	The bicycle is under the teddy bear.	The teddy bear is on the bicycle.	The teddy bear is far apart from the bicycle.	The monkey is on the tree.
000000061946.jpg	The sandwich is touching the teddy bear.	The teddy bear is touching the sandwich.	The teddy bear is far apart from the sandwich.	The kid is touching the oven.
000000061946.jpg	The sandwich is in front of the teddy bear.	The teddy bear is behind the sandwich.	The teddy bear is in front of the sandwich.	The trcuk is in front of the bus.
000000186484.jpg	The car is above the cat.	The cat is under the car.	The cat is above the cat.	The dog is under the truck.
000000186484.jpg	The car is on top the cat.	The cat is beneath the car.	The cat is on top of the car.	The bird is beneath the table.
000000473964.jpg	The backpack is under the cat.	The cat is on the backpack.	The backpack is on the cat.	The bottle is on the table.
000000473964.jpg	The backpack is below the cat.	The cat is on top of the backpack.	The cat is below the backpack.	The book is below the laptop.
000000527691.jpg	The couch is at the right side of the person.	The person is at the left side of the couch.	The couch is at the left side of the person.	The pen is at the left side of the book.
000000396725.jpg	The cake is in the oven.	The oven contains the cake.	The cake is outside the oven.	The pen is in the box.
000000446958.jpg	The cake is under the teddy bear.	The teddy bear is above the cake.	The teddy bear is under the cake.	The backpack is under the bed.
000000446958.jpg	The cake is beneath the teddy bear.	The teddy bear is on top of the cake.	The teddy bear is beneath the cake.	The table is beneath the computer.
000000482994.jpg	The cat is on top of the suitcase.	The suitcase is beneath the cat.	The cat is below the suitcase.	The mobile is on top of the box.
000000252000.jpg	The fire hydrant is touching the teddy bear.	The teddy bear is touching the fire hydrant.	The teddy bear is not touching the fire hydrant.	The laptop is touching the monitor.
000000252000.jpg	The fire hydrant is behind the teddy bear.	The teddy bear is in front of the fire hydrant.	The teddy bear is behind the fire hydrant.	The person is behind the oven.
000000318467.jpg	The bench is above the dog.	The dog is under the bench.	The dog is above the bench.	The watch is above the computer.
000000201925.jpg	The cake is within the oven.	The oven contains the cake.	The cake is outside the oven.	The gift is within the box.
000000201925.jpg	The cake is inside the oven.	The oven contains the cake.	The cake is on the oven.	The cat is inside the car.
000000041132.jpg	The backpack contains the cat.	The cat is inside the backpack.	The cat is outside the backpack.	The book is inside the drawer.
000000286717.jpg	The bowl is at the right side of the donut.	The donut is at the left side of the bowl.	The bowl is at the left side of the donut.	The mobile is at the left side of the book.
000000224670.jpg	The laptop is inside the train.	The train contains the laptop.	The laptop is outside the train.	The table is inside the room.
000000419755.jpg	The person is touching the sheep.	The sheep is touching the person.	The person is away from the sheep.	The bicycle is touching the car.
000000010714.jpg	The dining table is away from the teddy bear.	The teddy bear is away from the dining table.	The dining table is touching the teddy bear.	The person is touching the sheep.
000000360157.jpg	The cat is in the suitcase.	The suitcase contains the cat.	The cat is away from the suitcase.	The aquarium contains the fish.
000000520694.jpg	The bed is below the suitcase.	The suitcase is on the bed.	The bed is above the suitcase.	The table is above the box.
000000520694.jpg	The bed is below the cat.	The cat is above the bed.	The cat is below the bed.	The table is below the book.
000000312199.jpg	The orange is in the truck.	The truck contains the orange.	The orange is outside the truck.	The pen is in the backpack.
000000262371.jpg	The backpack is beneath the cat.	The cat is on top of the backpack.	The cat is beneath the backpack.	The table is beneath the bowl.
000000262371.jpg	The backpack is under the cat.	The cat is on top of the backpack.	The backpack is on top of the cat.	The table is beneath the bowl.
000000262371.jpg	The cat is on the backpack.	The backpack is under the cat.	The cat is under the backpack.	The table is under the box.
000000293658.jpg	The bicycle is touching the pizza.	The pizza is touching the bicycle.	The bicycle is away from the pizza.	The dog is touching the backpack.
000000293658.jpg	The bicycle is below the pizza.	The pizza is on top of the bicycle.	The bicycle is on top of the pizza.	The table is below the screen.
000000293658.jpg	The pizza is attached to the bicycle.	The bicycle is connected to the pizza.	The pizza is away from the bicycle.	The hook is attached to the wall.
000000293658.jpg	The pizza is touching the bicycle.	The bicycle is touching the pizza.	The pizza is away from the bicycle.	The cat is touching the box.
000000478981.jpg	The broccoli is on top of the pizza.	The pizza is under the broccoli.	The broccoli is under the pizza.	The table is under the pot.
000000478981.jpg	The pizza is below the broccoli.	The broccoli is on top of the pizza.	The pizza is on top of the broccoli.	The table is below the pot.
000000478981.jpg	The broccoli is on the pizza.	The pizza is below the broccoli.	The broccoli is below the pizza.	The toy is on the book.
000000299601.jpg	The dining table is beneath the teddy bear.	The teddy bear is above the dining table.	The dining table is above the teddy bear.	The book is beneath the toy.
000000299601.jpg	The kid is behind the teddy bear.	The teddy bear is in front of the kid.	The kid is in front of the teddy bear.	The box is behind the shelf.
000000045830.jpg	The cat is on top of the suitcase.	The suitcase is beneath the cat.	The cat is beneath the suitcase.	The bottle in on top of the table.
000000130088.jpg	The person is touching the orange.	The orange is touching the person.	The person is not touching the orange.	The cat is touching the food.
000000211178.jpg	The bed is under the pillow.	The pillow is on the bed.	The pillow is under the bed.	The cat is on the table.
000000347370.jpg	The person is close to the orange.	The orange is close to the person.	The person is away from the orange.	The cow is close to the bus.
000000561411.jpg	The laptop is in front of the dog.	The dog is behind the laptop. 	The laptop is behind the dog.	The car is in front of the truck.
000000404698.jpg	The tv is in front of the person.	The person is behind the tv.	The tv is behind the person.	The car is in front of the truck.
000000227044.jpg	The cat is on top of the sink.	The sink is under the cat.	The cat is under the sink.	The dog is under the bed.
000000209548.jpg	The person is beside the cake.	The cake is beside the person.	The cake is away from the person.	The cow is beside the car.
000000057639.jpg	The cake is in front of the person.	The person is behind the cake.	The person is in front of the cake.	The car is in front of the truck.
000000301029.jpg	The donut is touching the coffee cup.	The coffee cup is touching the donut.	The donut is far away from the coffee cup.	The person is touching the orange.
000000245576.jpg	The keyboard is below the cat.	The cat is above the keyboard.	The cat is below the keyboard.	The car is above the dog.
000000253290.jpg	The sandwich is on top of the dining table.	The dining table is below the sandwich.	The sandwich is below the dining table.	The book is below the laptop.
000000192707.jpg	The laptop is inside the train.	The train contains the laptop.	The laptop is on top of the train.	The bottle is inside the backpack.
000000076547.jpg	The train is in the station. 	The station surrounds the train.	The train is far away from the station. 	The pen is in the book.
000000004979.jpg	The horse is on the chair	The chair is beneath the horse.	The horse is beneath the chair.	The pizza is on the oven.
000000421457.jpg	The cat is on top of the microwave.	The microwave is under the cat.	The cat is below the microwave.	The pillow is on top of the bed.
000000468306.jpg	The person is not touching the pizza.	The pizza is not touching the person.	The person is touching the pizza.	The cat is touching the food.
000000191592.jpg	The umbrella is above the dining table.	The dining table is below the umbrella.	The umbrella is below the dining table.	The cat is below the car.
000000368986.jpg	The person is not touching the donut.	The donut is not touching the person.	The person is touching the donut.	The cat is not touching the food.
000000402170.jpg	The orange is on top of the dining table.	The dining table is below the orange.	The orange is below the dining table.	The cat is below the microwave.
000000518273.jpg	The girl is touching the book. 	The book is touching the girl.	The girl is not touching the book. 	The donut is touching the coffee cup.
000000154107.jpg	The apple is in the bowl.	The bowl contains the apple.	The apple is away from the bowl.	The pen is in the bag.
000000009712.jpg	The book is beside the laptop. 	The laptop is beside the book.	The book is away from the laptop.	The cake is beside the oven.
000000248104.jpg	The steak is inside the oven.	The oven surrounds the steak.	The steak is on top of the oven. 	The cake is inside the fridge.
000000516636.jpg	The sink contains the cat.	The cat is inside the sink.	The cat is outside the sink.	The fridge contains the cake.
000000423065.jpg	The umbrella is touching the orange.	The orange is touching the umbrella.	The umbrella is not touching the orange.	The pen is touching the book.
000000333140.jpg	The black cat is beside the telephone.	The telephone is beside the black cat.	The black cat is far away from the telephone	The dog is beside the car.
000000335581.jpg	The oven glove is touching the fridge.	The fridge is touching the oven glove.	The oven glove is on top of the fridge.	The umbrella is touching the orange.
000000126514.jpg	The teddy bear is touching the cake.	The cake is touching the teddy bear.	The cake is on top of the teddy bear.	The orange is touching the umbrella.
000000465143.jpg	The person is in front of the couch.	The couch is behind the person.	The couch is in front of the person.	The banana is in front of the apple.
000000511133.jpg	The banana is inside the bowl.	The bowl contains the banana.	The banana is outside the bowl.	The sink contains the cat.
000000156643.jpg	The cake is in front of the person.	The person is behind the cake.	The person is in front of the cake.	The car is in front of the bike.
000000403639.jpg	The black cat is left of the keyboard.	The keyboard is right of the keyboard.	The black cat is right of the keyboard.	The red dog is right of the car.
000000498082.jpg	The teddy bear is touching the person.	The person is touching the teddy bear.	The teddy bear is not touching the person.	The orange is touching the umbrella.
000000182202.jpg	The cell phone is at the left side of the keyboard.	The keyboard is at the right side of the cell phone.	The cell phone is at the right side of the keyboard.	The red dog is right of the car.
000000022462.jpg	The dog is on the couch.	The couch is under the dog.	The dog is under the couch.	The bottle is on the table.
000000448034.jpg	The chair is under the dog.	The dog is on the chair.	The dog is below the chair.	The bottle is on the table.
000000321223.jpg	The oven is behind the person.	The person is in front of the oven.	The person is behind the oven.	The car is in front of the bike.
000000510103.jpg	The window is on the left side of the cake.	The cake is on the right side of the window.	The window is on the right side of the cake.	The keyboard is at the right side of the cell phone.
000000364725.jpg	The mirror is behind the cat.	The cat is in front of the mirror.	The cat is behind the mirror.	The oven is behind the person.
000000011696.jpg	The dog is above the laptop.	The laptop is below the dog.	The dog is below the laptop.	The cake is above the oven.
000000204467.jpg	The person is touching the broccoli.	The broccoli is touching the person.	The person is away from the broccoli.	The orange is touching the umbrella.
000000087813.jpg	The laptop is on the box.	The box is under the laptop. 	The laptop is under the box.	The shirt is on the chair.
000000451489.jpg	The elephant is far from the potted plant.	The potted plant is far from the elephant.	The elephant is close to the potted plant.	The car is far from the tree.
000000497455.jpg	The umbrella is alongside the bicycle.	The bicycle is alongside the umbrella.	The umbrella is far from the bicycle.	The pen is alongside the book.
000000350134.jpg	The elephant is inside the truck.	The truck contains the elephant.	The elephant is far from the truck.	The rabbit is inside the house.
000000191964.jpg	The cat is not touching the keyboard.	The keyboard is not touching the cat.	The cat is touching the keyboard.	The person is touching the broccoli.
000000299643.jpg	The sandwich is in front of the person.	The person is behind the sandwich.	The sandwich is behind the person.	The cat is behind the laptop.
000000092366.jpg	The truck is behind the person.	The person is in front of the truck.	The truck is in front of the person.	The cat is in front of the laptop.
000000083508.jpg	The person is at the left side of the dining table.	The dining table is at the right side of the person.	The person is at the right side of the dining table.	The car is at the right side of the house.
000000007730.jpg	The cat is enclosed by the suitcase.	The cat is inside the suitcase	The cat is outside the suitcase	The shirt is inside the box.
000000500984.jpg	The mouse is beside the booklet.	The mouse is close to the booklet.	The mouse is far from the booklet.	The dog is beside the bike.
000000335481.jpg	The car is above the cat.	The cat is below the car.	The cat is above the car.	The window is above the couch.
000000240798.jpg	The banana is outside the bowl.	The bowl do not contain the banana.	The banana is within the bowl.	The elephant is outside the house.
000000306569.jpg	The cup is left of the pizza.	The pizza is right of the cup.	The cup is right of the pizza.	The chair is right of the table.
000000408705.jpg	The pizza is next to the oven.	The oven is next to the pizza.	The pizza is far from the oven.	The dog is next to the bike.
000000355426.jpg	The pizza is on top of the stove.	The stove is below the pizza.	The stove is on top of the pizza.	The backpack is on top of the table.
000000153639.jpg	The toppings are on the pizza.	The pizza is under the toppings.	the toppings are below the pizza.	The cat is on the bus.
000000553735.jpg	The bus is in front of the truck.	The truck is behind the bus.	The bus is behind the truck.	The person is behind the tv.
000000132789.jpg	The truck contains the person.	The person is inside the truck.	The person is outside the truck.	The bowl contains the banana.
000000106513.jpg	The umbrella is on the right of the bus.	The bus is on the left of the umbrella.	The umbrella is on the left of the bus.	The chair is on the right of the table.
000000426911.jpg	The laptop is next to the refrigerator.	The laptop is beside the refrigerator.	The laptop is not beside the refrigerator.	The pizza is beside the oven.
000000397606.jpg	The cat is on top of the suitcase.	The suitcase is under the cat.	The cat is in the suitcase.	The bird is on top of the tree.
000000070943.jpg	The person is not touching the elephant.	The elephant is not touching the person.	The person is touching the elephant.	The cat is touching the backpack.
000000348816.jpg	The dog is on top of the suitcase.	The suitcase is under the dog.	The dog is under the suitcase.	The pen is under the book.
000000410962.jpg	The broccoli is above the person.	The bowl is below the broccoli.	The broccoli is below the bowl.	The tv is above the refrigerator.
000000207857.jpg	The cat is touching the keyboard.	The keyboard is touching the cat.	The cat is not touching the keyboard.	The person is touching the oven.
000000416767.jpg	The person is at the left side of the dining table.	The dining table is at the right side of the person.	The person is at the right side of the dining table.	The laptop is on the right side of the tv.
000000502604.jpg	The suitcase is at the left side of the cat.	The cat is at the right side of the suitcase.	The cat is at the left side of the suitcase.	The laptop is on the left side of the tv.
000000379558.jpg	The bird is below the umbrella.	The umbrella is above the bird.	The umbrella is below the bird.	The tv is above the refrigerator.
000000222463.jpg	The ladder is alongside the bed.	The bed is alongside the ladder. 	The ladder is far from the bed.	The umbrella is alongside the bicycle.
000000448627.jpg	The cat is beside the keyboard. 	The keyboard is beside the cat.	The cat is far from the keyboard. 	The person is beside the elephant.
000000395800.jpg	The car contains the cat.	The cat is inside the car.	The cat is outside the car.	The bowl contains the apple.
000000014635.jpg	The tv is away from the dining table.	The dining table is away from the tv.	The tv is beside the dining table.	The person is beside the elephant.
000000127760.jpg	The computer is next to the teddy bear.	The teddy bear is next to the computer.	The computer is far from the teddy bear.	The pizza is next to the oven.
000000344271.jpg	The bicycle is in front of the person.	The person is behind the bicycle.	The bicycle is behind the person.	The umbrella is behind the tv.
000000148977.jpg	The bottle is away from the teddy bear.	The teddy bear is away from the bottle.	The bottle is touching the teddy bear.	The ladder is away from the bed.
000000123066.jpg	The banana is beside the cake.	The cake is next to the banana.	The banana is part of the cake.	The car is beside the bike.
000000390474.jpg	The backpack is on the bed.	The bed is under the backpack.	The backpack is under the bed.	The keychain is under the laptop.
000000391638.jpg	The oven is touching the person.	The person is touching the oven.	The person is far from the oven.	The cat is touching the suitcase.
000000155777.jpg	The bird is above the bowl.	The bowl is below the bird.	The bird is in the bowl.	The balloon is above the building.
000000443397.jpg	The banana is next to the bowl.	The bowl is next to the banana.	The banana is away from the bowl.	The car is next to the bike.
000000229740.jpg	The sink is next to the cat.	The cat is next to the sink.	The cat is far from the sink.	The banana is next to the bowl.
000000427103.jpg	The parking meter is in front of the car.	The car is behind the parking meter	The parking meter is behind the car.	The car is behind the building.
000000316563.jpg	The car is under the cat.	The cat is on top of the car.	The car is above the cat.	The pillow is on top of the bed.
000000432035.jpg	The pizza is on the plate.	The plate is under the pizza.	The pizza is off the plate.	The watch is on the oven.
000000491478.jpg	The person is behind the sandwich.	The sandwich is in front of the person.	The person is behind the sandwich.	The car is behind the parking meter
000000561635.jpg	The remote is on top of the book.	The book is under the remote.	The remote is far from the book.	The watch is on the top of the bed..
000000148802.jpg	The truck is next to the lake.	The lake is beside the truck.	The truck is in the lake.	The banana is next to the bowl.
000000223497.jpg	The bus is at the back of the truck.	The truck is in front of the bus.	The truck is at the back of the bus.	The cat is at the back of the car.
000000546896.jpg	The cat is next to the teddy bear.	The teeddy bear is next to the cat.	The cat is far from the teddy bear.	The banana is next to the bowl.
000000164883.jpg	The person is close to the tv.	The tv is close to the person.	The person is far from the tv.	The dog is close to the cat.
000000359105.jpg	The cake is touching the person.	The person is touching the cake.	The cake is not touching the person.	The mouse is touching the cheese.
000000447016.jpg	The hot dog is touching the person.	The person is touching the hot dog.	The person is not touching the hot dog.	The mouse is touching the cheese.
000000151896.jpg	The umbrella is above the person.	The person is under the umbrella.	The umbrella is under the person.	The cat is under the blanket.
000000473433.jpg	The suitcase contains the book.	The book is within the suitcase.	The suitcase do not contain the book.	The jar contains the water.
000000354242.jpg	The cow is not facing the person.	The person is not facing the cow.	The cow is facing the person.	The cat is facing the dog.
000000135057.jpg	The truck is below the flag.	The flag is above the truck.	The flag is below the truck.	The bed is below the table.
000000329730.jpg	The person is to the left of the oven. 	The oven is to the right of the person.	The person is to the right of the oven. 	The book is to the right of the tv.
000000234467.jpg	The person is outside the car.	The person is not inside the car.	The person is inside the car.	The banana is outside the bowl.
000000060269.jpg	The banana is at the right side of the broccoli.	The broccoli is at the left side of the banana.	The banana is at the left side of the broccoli.	The car is at the right side of the tent.
000000178407.jpg	The motor bike is beside the car. 	The car is beside the motor bike.	The motor bike is far from the bike.	The cat is beside the dining table.
000000461114.jpg	The cake is in front of the person.	The person is behind the cake.	The cake is behind the person.	The cat is behind the mirror.
000000430643.jpg	The person is behind the flame.	The flame is in front of the person.	The flame is behind the person.	The bear is behind the tree.
000000558700.jpg	The laptop is on top of the bench.	The bench is under the laptop.	The laptop is under the bench.	The dog is under the truck.
000000348288.jpg	The person is behind the teddy bear and the couch.	The teddy bear and the couch are in front of the person.	The teddy bear and the couch are behind the person.	The car is behind the bus and the truck.
000000491502.jpg	The pizza is on top of the dining table. 	The dining table is below the pizza.	The dining table is above the pizza.	The cat is above the regrigerator.
000000348606.jpg	The head phones are beside the book.	The book is beside the head phones.	The head phones are not beside the book.	The laptop is beside the computer.
000000530730.jpg	The cat is on the laptop.	The laptop is under the cat.	The cat is under the laptop.	The bird is under the tree.
000000382617.jpg	The cup is on top of the book.	The book is under the cup.	The book is on top of the cup.	The bird is on top of the tree.
000000391074.jpg	The tomato is on top of the pizza.	The pizza is under the tomato.	The pizza is on top of the tomato.	The bird is on top of the tree.
000000095258.jpg	The refrigerator is next to the stove.	The stove is next to the refrigerator.	The refrigerator is far from the stove.	The potted plant is next to the dog.
000000262704.jpg	The bed is under the book.	The book is on the bed.	The bed is above the book.	The bird is on top of the tree.
000000235591.jpg	The couch is touching the person.	The person is touching the couch..	The person is not touching the couch..	The car is touching the potted plant.
000000238302.jpg	The cat is above the suitcase.	The suitcase is under the cat.	The suitcase contains the cat.	The orange is on the plate.
000000050828.jpg	The suitcase is beside the bed.	The bed is beside the suitcase.	The suitcase is not beside the bed.	The head phones are beside the book.
000000136672.jpg	The pizza is touching the person.	The person is touching the pizza.	The pizza is not touching the person.	The cow is touching the bike.
000000234533.jpg	The cake is on top of the bicycle.	The bicycle is under the cake.	The bicycle is on top of the cake.	The cow is on top of the hill.
000000412680.jpg	The sandwich is not touching the person.	The person is not touching the sandwich.	The sandwich is touching the person.	The bed is not touching the dining table.
000000003474.jpg	The trolley is beneath the cat.	The cat is on the trolley.	The cat is under the trolley.	The person is under the tree.
000000215405.jpg	The umbrella is attached to the banana.	The banana is attached to the umbrella.	The umbrella is not attached to the banana.	The laptop is attached to the table.
000000323334.jpg	The teddy bear is facing the person.	The person is facing the teddy bear.	The teddy bear is not facing the person.	The dog is facing the elephant.
000000316482.jpg	The donut is beside the coffee cup.	The coffee cup is next to the donut.	The donut is far from the coffee cup.	The potted plant is next the dog.
000000501054.jpg	The dog is next to the lake.	The lake is next to the dog.	The dog is far from the lake.	The potted plant is next the car.
000000469728.jpg	The traffic signal is behind the bicycle.	The bicycle is in front of the traffic light.	The traffic signal is in front of the bicycle.	The laptop is in front of the tv.
000000331506.jpg	The candles are on top of the table.	The table is under the candles.	The table is above the candles.	The dog is under the tree.
000000173324.jpg	The hot dog is touching the person.	The person is touching the hot dog.	The hot dog is not touching the person.	The bed is not touching the dining table.
000000094566.jpg	The tail of the cat is on the keyboard. 	The keyboard is under the tail of the cat.	The tail of the cat is under the keyboard. 	The cell phone is under the dining table.
000000087101.jpg	The bird is far away from the person.	The person is far away from the bird.	The bird is beside the person.	The car is far away from the lake.
000000481442.jpg	The person is touching the cake and the table.	The table and cake are touching the person.	The person is far from the cake and the table.	The cat and dog are touching the suitcase.
000000091465.jpg	The cat and the person are on top of the bed.	The bed is under the cat and the person.	The cat and the person are under the bed.	The laptop and the book are on the table.
000000447095.jpg	The cat is near the carrot.	The carrot is near the cat.	The cat is far from the carrot.	The dog is near the person.
000000309568.jpg	The cat and the laptop are on the bed.	The bed is under the cat and the laptop.	The bed is on top of the cat and the laptop.	The cow and the dog are under the tree.
000000162427.jpg	The cat is touching the keyboard.	The keyboard is touching the cat.	The cat is not touching the keyboard.	The dog is touching the oven.
000000274734.jpg	The couch is at the right side of the banana and the person.	The banana and the person are on the left side of the couch.	The banana and the person are on the right side of the couch.	The car and the bicycle are on the right side of the truck.
000000510644.jpg	The apple is below the bird.	The bird is above the apple.	The bird is below the apple.	The kite is above the balloon.
000000274203.jpg	The bowl is at the right side of the sandwich.	The sandwich is at the left side of the bowl.	The bowl is at the left side of the sandwich.	The river is on the left side of the hill.
000000028251.jpg	The truck is behind the elephant.	The elephant is in front of the truck.	The elephant is inside the truck.	The sun is behind the mountain.
000000009448.jpg	The person is under the umbrella.	The umbrella is above the person.	The umbrella is under the person.	The bird is above the kite.
000000556462.jpg	The sandwich and the potato fries are in front of the person.	The person is behind the sandwich and the potato fries.	The person is in front of the sandwich and the potato fries.	The cat and dog are in front of the truck.
000000503472.jpg	The couch is in front of the umbrella.	The umbrella is behind the couch.	The umbrella is in front of the couch. 	The table is in front of the person.
000000496307.jpg	The pizza is touching the person.	The person is touching the pizza.	The pizza is not touching the person.	The elephant is touching the tree.
000000121068.jpg	The donut is at the right side of the person.	The person is at the left side of the donut.	The donut is at the left side of the person.	The hat is on the left side of the couch.
000000402115.jpg	The sandwich is touching the person.	The person is touching the sandwich.	The sandwich is not touching the person.	The elephant is touching the bananas.
000000119614.jpg	The bed is at the side of the suitcase.	The bed is beside the suitcase.	The bed is not beside the suitcase.	The dog is at the side of the car.
000000058008.jpg	The apple is behind the banana.	The banana is in front of the apple.	The banana is over the apple.	The couch is in front of the umbrella.
000000136559.jpg	The keyboard is beneath the cat.	The cat is above the keyboard.	The cat is beneath the keyboard.	The clock is above the refrigerator.
000000426690.jpg	The sink contains the cat.	The sink is surrounding the cat.	The sink is not surrounding the cat.	The cage contains the bird.
